player_lastname,player_firstname,season,draymond
Martin ,Cartier,2015,-4.301
Ware ,Casper,2014,0.471
Osman ,Cedi,2018,0.837
Osman ,Cedi,2019,-1.103
Hutchison ,Chandler,2019,0.505
Parsons ,Chandler,2014,0.186
Parsons ,Chandler,2015,-1.048
Parsons ,Chandler,2016,-0.116
Parsons ,Chandler,2017,-1.218
Parsons ,Chandler,2018,-1.823
Parsons ,Chandler,2019,1.045
Frye ,Channing,2014,-0.083
Frye ,Channing,2015,-1.557
Frye ,Channing,2016,0.09
Frye ,Channing,2017,0.089
Frye ,Channing,2018,-1.636
Frye ,Channing,2019,-3.996
Cooke ,Charles,2018,0.936
Villanueva ,Charlie,2014,-4.325
Villanueva ,Charlie,2015,-1.144
Villanueva ,Charlie,2016,-0.307
Budinger ,Chase,2014,0.214
Budinger ,Chase,2015,-1.396
Budinger ,Chase,2016,0.795
Randle ,Chasson,2017,-1.023
Randle ,Chasson,2019,-1.697
Billups ,Chauncey,2014,-2.877
Diallo ,Cheick,2017,-2.599
Diallo ,Cheick,2018,-1.416
Diallo ,Cheick,2019,-0.018
Metu ,Chimezie,2019,-0.499
Onuaku ,Chinanu,2017,-2.622
Onuaku ,Chinanu,2018,2.195
Andersen ,Chris,2014,1.578
Andersen ,Chris,2015,-1.264
Andersen ,Chris,2016,-1.296
Andersen ,Chris,2017,0.769
Babb ,Chris,2014,-0.091
Bosh ,Chris,2014,0.184
Bosh ,Chris,2015,-0.111
Bosh ,Chris,2016,-0.025
Boucher ,Chris,2018,-2.494
Boucher ,Chris,2019,4.424
Chiozza ,Chris,2019,2.83
Copeland ,Chris,2014,-0.601
Copeland ,Chris,2015,0.021
Copeland ,Chris,2016,-3.026
Douglas-Roberts ,Chris,2014,-0.297
Douglas-Roberts ,Chris,2015,-6.192
Johnson ,Chris,2014,-2.248
Johnson ,Chris,2015,0.55
Johnson ,Chris,2016,0.349
Kaman ,Chris,2014,4.359
Kaman ,Chris,2015,0.026
Kaman ,Chris,2016,0.064
McCullough ,Chris,2016,-0.184
McCullough ,Chris,2017,1.571
McCullough ,Chris,2018,2.208
Paul ,Chris,2014,-0.431
Paul ,Chris,2015,-0.023
Paul ,Chris,2016,-0.84
Paul ,Chris,2017,-1.161
Paul ,Chris,2018,-0.385
Paul ,Chris,2019,-0.89
Singleton ,Chris,2014,-4.645
Smith ,Chris,2014,-2.554
Wright ,Chris,2014,1.344
Wood ,Christian,2016,0.479
Wood ,Christian,2017,1.38
Wood ,Christian,2019,-2.032
Hayes ,Chuck,2014,-0.51
Hayes ,Chuck,2015,-0.807
Hayes ,Chuck,2016,7.41
