player_id,player_lastname,player_firstname,season,draymond
simmoko01,Simmons,Kobi,2019,39.093
simmoko01,Simmons,Kobi,2018,-3.136
simonan01,Simons,Anfernee,2019,-2.806
simshe01,Sims,Henry,2015,-0.8290000000000001
simshe01,Sims,Henry,2014,0.882
simshe01,Sims,Henry,2016,-5.977
singlky01,Singler,Kyle,2014,-0.32299999999999995
singlky01,Singler,Kyle,2015,-0.505
singlky01,Singler,Kyle,2016,-1.42
singlky01,Singler,Kyle,2017,0.166
singlky01,Singler,Kyle,2018,1.5859999999999999
singlch01,Singleton,Chris,2014,-4.645
sivape01,Siva,Peyton,2014,-0.057999999999999996
sloando01,Sloan,Donald,2014,-4.382
sloando01,Sloan,Donald,2016,-1.9669999999999999
sloando01,Sloan,Donald,2015,0.161
smartma01,Smart,Marcus,2018,0.40700000000000003
smartma01,Smart,Marcus,2017,0.11199999999999999
smartma01,Smart,Marcus,2016,-0.075
smartma01,Smart,Marcus,2015,-0.556
smartma01,Smart,Marcus,2019,-0.009000000000000001
smithis01,Smith,Ish,2019,0.387
smithis01,Smith,Ish,2018,1.212
smithis01,Smith,Ish,2017,0.233
smithis01,Smith,Ish,2015,-0.7070000000000001
smithis01,Smith,Ish,2014,0.133
smithis01,Smith,Ish,2016,-1.047
smithja02,Smith,Jason,2015,-0.039
smithja02,Smith,Jason,2018,0.932
smithja02,Smith,Jason,2017,0.644
smithja02,Smith,Jason,2019,1.057
smithja02,Smith,Jason,2016,-0.294
smithja02,Smith,Jason,2014,-0.7859999999999999
smithjo03,Smith,Josh,2015,2.82
smithjo03,Smith,Josh,2014,0.747
smithjo03,Smith,Josh,2016,2.55
smithjo03,Smith,Josh,2018,0.315
smithru01,Smith,Russ,2015,2.591
smithru01,Smith,Russ,2016,-6.16
smithgr02,Smith,Greg,2015,-0.88
smithgr02,Smith,Greg,2014,0.778
smithgr02,Smith,Greg,2016,-0.9009999999999999
smithzh01,Smith,Zhaire,2019,0.05
smithch05,Smith,Chris,2014,-2.5540000000000003
snellto01,Snell,Tony,2016,2.015
snellto01,Snell,Tony,2014,-1.061
snellto01,Snell,Tony,2017,-0.713
snellto01,Snell,Tony,2019,0.11
snellto01,Snell,Tony,2018,-1.11
snellto01,Snell,Tony,2015,0.907
southja01,Southerland,James,2014,12.06
spaldra01,Spalding,Ray,2019,-0.7090000000000001
speigma01,Speights,Marreese,2018,0.6629999999999999
speigma01,Speights,Marreese,2014,-0.254
speigma01,Speights,Marreese,2017,0.53
speigma01,Speights,Marreese,2016,1.117
speigma01,Speights,Marreese,2015,0.08
spellom01,Spellman,Omari,2019,1.695
splitti01,Splitter,Tiago,2017,-1.6159999999999999
splitti01,Splitter,Tiago,2014,2.273
splitti01,Splitter,Tiago,2015,1.693
splitti01,Splitter,Tiago,2016,0.51
stausni01,Stauskas,Nik,2019,-2.229
stausni01,Stauskas,Nik,2016,0.037000000000000005
stausni01,Stauskas,Nik,2015,0.192
stausni01,Stauskas,Nik,2017,-1.078
stausni01,Stauskas,Nik,2018,1.207
stephla01,Stephenson,Lance,2018,-1.574
stephla01,Stephenson,Lance,2014,0.982
stephla01,Stephenson,Lance,2015,-1.3869999999999998
stephla01,Stephenson,Lance,2016,-1.18
stephla01,Stephenson,Lance,2017,0.146
stephla01,Stephenson,Lance,2019,-1.204
stephal01,Stepheson,Alex,2016,6.57
stiemgr01,Stiemsma,Greg,2014,-0.8640000000000001
stiemgr01,Stiemsma,Greg,2015,1.706
stockda01,Stockton,David,2018,-1.9709999999999999
stockda01,Stockton,David,2015,10.833
stokeja01,Stokes,Jarnell,2017,4.173
stokeja01,Stokes,Jarnell,2016,4.3180000000000005
stokeja01,Stokes,Jarnell,2015,-0.825
stoneju01,Stone,Julyan,2018,3.1660000000000004
stoneju01,Stone,Julyan,2014,-0.5
stonedi01,Stone,Diamond,2017,-5.218999999999999
stoudam01,Stoudemire,Amar'e,2016,1.6780000000000002
stoudam01,Stoudemire,Amar'e,2015,1.099
stoudam01,Stoudemire,Amar'e,2014,0.063
stuckro01,Stuckey,Rodney,2014,-1.788
stuckro01,Stuckey,Rodney,2017,1.055
stuckro01,Stuckey,Rodney,2015,-0.225
stuckro01,Stuckey,Rodney,2016,-0.40399999999999997
sullija01,Sullinger,Jared,2015,0.248
sullija01,Sullinger,Jared,2016,0.35100000000000003
sullija01,Sullinger,Jared,2017,2.5269999999999997
sullija01,Sullinger,Jared,2014,0.311
sumneed01,Sumner,Edmond,2018,-45.073
sumneed01,Sumner,Edmond,2019,2.17
swanica01,Swanigan,Caleb,2019,0.39299999999999996
swanica01,Swanigan,Caleb,2018,-0.703
tatumja01,Tatum,Jayson,2019,1.261
tatumja01,Tatum,Jayson,2018,-0.133
tavarwa01,Tavares,Edy,2017,4.373
tavarwa01,Tavares,Edy,2016,0.287
tayloty01,Taylor,Tyshawn,2014,-1.885
tayloje03,Taylor,Jeffery,2014,1.8719999999999999
tayloje03,Taylor,Jeffery,2015,-2.335
taylois01,Taylor,Isaiah,2017,0.015
taylois01,Taylor,Isaiah,2018,0.262
teaguje01,Teague,Jeff,2019,-0.065
teaguje01,Teague,Jeff,2016,0.856
teaguje01,Teague,Jeff,2015,0.327
teaguje01,Teague,Jeff,2018,-1.3969999999999998
teaguje01,Teague,Jeff,2017,-0.33399999999999996
teaguje01,Teague,Jeff,2014,-0.196
teaguma01,Teague,Marquis,2018,-4.348
teaguma01,Teague,Marquis,2014,1.69
teletmi01,Teletovic,Mirza,2018,-0.013999999999999999
teletmi01,Teletovic,Mirza,2017,-0.866
teletmi01,Teletovic,Mirza,2016,-1.114
teletmi01,Teletovic,Mirza,2015,0.9690000000000001
teletmi01,Teletovic,Mirza,2014,0.568
telfase01,Telfair,Sebastian,2015,-0.998
templga01,Temple,Garrett,2016,-0.092
templga01,Temple,Garrett,2014,0.506
templga01,Temple,Garrett,2015,-1.419
templga01,Temple,Garrett,2017,0.312
templga01,Temple,Garrett,2018,-0.16699999999999998
templga01,Temple,Garrett,2019,-0.314
teodomi01,Teodosic,Milos,2018,-1.9480000000000002
teodomi01,Teodosic,Milos,2019,-4.553
terreja01,Terrell,Jared,2019,8.777000000000001
terryem01,Terry,Emanuel,2019,-9.576
terryja01,Terry,Jason,2018,-0.956
terryja01,Terry,Jason,2017,1.815
terryja01,Terry,Jason,2016,-3.264
terryja01,Terry,Jason,2015,0.687
terryja01,Terry,Jason,2014,-1.122
thabeha01,Thabeet,Hasheem,2014,-0.40399999999999997
theisda01,Theis,Daniel,2018,1.35
theisda01,Theis,Daniel,2019,0.336
thomais02,Thomas,Isaiah,2019,2.553
thomais02,Thomas,Isaiah,2018,1.065
thomais02,Thomas,Isaiah,2017,-0.615
thomais02,Thomas,Isaiah,2016,-0.139
thomais02,Thomas,Isaiah,2015,0.29100000000000004
thomais02,Thomas,Isaiah,2014,0.303
thomala01,Thomas,Lance,2014,-5.747000000000001
thomala01,Thomas,Lance,2017,0.682
thomala01,Thomas,Lance,2016,0.727
thomala01,Thomas,Lance,2018,0.752
thomala01,Thomas,Lance,2019,0.359
thomala01,Thomas,Lance,2015,-0.536
thomakh01,Thomas,Khyri,2019,0.185
thomaad01,Thomas,Adonis,2014,-1.633
thomama01,Thomas,Malcolm,2014,5.359
thomama01,Thomas,Malcolm,2015,-3.48
thomaty01,Thomas,Tyrus,2015,13.055
thompho01,Thompson,Hollis,2014,-1.666
thompho01,Thompson,Hollis,2016,-0.42700000000000005
thompho01,Thompson,Hollis,2017,0.25
thompho01,Thompson,Hollis,2015,1.3119999999999998
thompja02,Thompson,Jason,2016,-1.307
thompja02,Thompson,Jason,2015,-0.325
thompja02,Thompson,Jason,2014,0.11800000000000001
thomptr01,Thompson,Tristan,2015,0.6509999999999999
thomptr01,Thompson,Tristan,2018,-0.82
thomptr01,Thompson,Tristan,2016,0.8740000000000001
thomptr01,Thompson,Tristan,2014,-0.489
thomptr01,Thompson,Tristan,2019,-0.254
thomptr01,Thompson,Tristan,2017,1.198
thompkl01,Thompson,Klay,2014,1.535
thompkl01,Thompson,Klay,2019,0.805
thompkl01,Thompson,Klay,2018,0.486
thompkl01,Thompson,Klay,2017,1.501
thompkl01,Thompson,Klay,2016,1.36
thompkl01,Thompson,Klay,2015,0.63
thornma01,Thornton,Marcus,2015,0.259
thornma01,Thornton,Marcus,2014,-1.177
thornma01,Thornton,Marcus,2016,-0.96
thornma01,Thornton,Marcus,2017,-0.413
thornsi01,Thornwell,Sindarius,2018,0.648
thornsi01,Thornwell,Sindarius,2019,1.0590000000000002
tinslja01,Tinsley,Jamaal,2014,-4.071000000000001
tobeymi01,Tobey,Mike,2017,6.756
tollian01,Tolliver,Anthony,2017,-1.4080000000000001
tollian01,Tolliver,Anthony,2015,-1.328
tollian01,Tolliver,Anthony,2014,0.184
tollian01,Tolliver,Anthony,2019,-0.405
tollian01,Tolliver,Anthony,2018,1.774
tollian01,Tolliver,Anthony,2016,1.294
toupaax01,Toupane,Axel,2016,1.5
toupaax01,Toupane,Axel,2017,1.486
townska01,Towns,Karl-Anthony,2019,0.53
townska01,Towns,Karl-Anthony,2016,0.20199999999999999
townska01,Towns,Karl-Anthony,2017,-0.37200000000000005
townska01,Towns,Karl-Anthony,2018,-0.02
trieral01,Trier,Allonzo,2019,-0.902
turiaro01,Turiaf,Ronny,2014,2.6069999999999998
turiaro01,Turiaf,Ronny,2015,-14.085999999999999
turkohe01,Turkoglu,Hedo,2014,1.9580000000000002
turkohe01,Turkoglu,Hedo,2015,0.044000000000000004
turnemy01,Turner,Myles,2017,1.761
turnemy01,Turner,Myles,2018,0.945
turnemy01,Turner,Myles,2016,1.693
turnemy01,Turner,Myles,2019,2.434
turneev01,Turner,Evan,2019,2.229
turneev01,Turner,Evan,2018,0.9079999999999999
turneev01,Turner,Evan,2017,0.848
turneev01,Turner,Evan,2016,2.002
turneev01,Turner,Evan,2015,0.265
turneev01,Turner,Evan,2014,-2.006
tylerje01,Tyler,Jeremy,2014,-0.24100000000000002
udohek01,Udoh,Ekpe,2014,0.036000000000000004
udohek01,Udoh,Ekpe,2015,-0.331
udohek01,Udoh,Ekpe,2018,2.166
udohek01,Udoh,Ekpe,2019,0.513
udrihbe01,Udrih,Beno,2016,0.07400000000000001
udrihbe01,Udrih,Beno,2015,-0.7340000000000001
udrihbe01,Udrih,Beno,2014,-0.5539999999999999
udrihbe01,Udrih,Beno,2017,-1.639
ulisty01,Ulis,Tyler,2019,61.776
ulisty01,Ulis,Tyler,2018,-0.9640000000000001
ulisty01,Ulis,Tyler,2017,-1.9980000000000002
uthofja01,Uthoff,Jarrod,2017,-5.551
valanjo01,Valanciunas,Jonas,2017,0.34299999999999997
valanjo01,Valanciunas,Jonas,2016,0.545
valanjo01,Valanciunas,Jonas,2015,0.415
valanjo01,Valanciunas,Jonas,2014,0.5920000000000001
valanjo01,Valanciunas,Jonas,2019,2.254
valanjo01,Valanciunas,Jonas,2018,1.63
valende01,Valentine,Denzel,2017,1.1909999999999998
valende01,Valentine,Denzel,2018,-1.206
vanvlfr01,VanVleet,Fred,2017,-0.29600000000000004
vanvlfr01,VanVleet,Fred,2019,0.078
vanvlfr01,VanVleet,Fred,2018,0.415
vandeja01,Vanderbilt,Jarred,2019,5.432
varejan01,Varejao,Anderson,2017,-2.459
varejan01,Varejao,Anderson,2016,-1.222
varejan01,Varejao,Anderson,2015,-0.508
varejan01,Varejao,Anderson,2014,0.048
varnaja01,Varnado,Jarvis,2014,-0.107
vasqugr01,Vasquez,Greivis,2016,-2.522
vasqugr01,Vasquez,Greivis,2014,0.626
vasqugr01,Vasquez,Greivis,2015,-1.034
vasqugr01,Vasquez,Greivis,2017,3.51
vaughra01,Vaughn,Rashad,2018,2.15
vaughra01,Vaughn,Rashad,2016,-1.8940000000000001
vaughra01,Vaughn,Rashad,2017,-1.204
veselja01,Vesely,Jan,2014,1.206
villach01,Villanueva,Charlie,2016,-0.307
villach01,Villanueva,Charlie,2015,-1.1440000000000001
villach01,Villanueva,Charlie,2014,-4.325
vonleno01,Vonleh,Noah,2015,-0.23
vonleno01,Vonleh,Noah,2016,0.304
vonleno01,Vonleh,Noah,2018,-0.163
vonleno01,Vonleh,Noah,2017,1.646
vonleno01,Vonleh,Noah,2019,0.08199999999999999
vucevni01,Vucevic,Nikola,2015,-0.505
vucevni01,Vucevic,Nikola,2014,-0.153
vucevni01,Vucevic,Nikola,2019,0.935
vucevni01,Vucevic,Nikola,2018,-1.015
vucevni01,Vucevic,Nikola,2017,0.818
vucevni01,Vucevic,Nikola,2016,0.5379999999999999
vujacsa01,Vujacic,Sasha,2017,-1.7630000000000001
vujacsa01,Vujacic,Sasha,2016,-0.95
vujacsa01,Vujacic,Sasha,2014,-1.401
wadedw01,Wade,Dwyane,2019,0.341
wadedw01,Wade,Dwyane,2017,-1.139
wadedw01,Wade,Dwyane,2016,-0.048
wadedw01,Wade,Dwyane,2015,0.5710000000000001
wadedw01,Wade,Dwyane,2014,-0.297
wadedw01,Wade,Dwyane,2018,1.355
wagnemo01,Wagner,Moritz,2019,1.423
waitedi01,Waiters,Dion,2017,2.099
waitedi01,Waiters,Dion,2019,-0.379
waitedi01,Waiters,Dion,2016,1.03
waitedi01,Waiters,Dion,2015,-0.01
waitedi01,Waiters,Dion,2018,-0.7879999999999999
waitedi01,Waiters,Dion,2014,0.094
walkeke02,Walker,Kemba,2016,-0.015
walkeke02,Walker,Kemba,2017,0.17300000000000001
walkeke02,Walker,Kemba,2014,1.2690000000000001
walkeke02,Walker,Kemba,2018,1.3319999999999999
walkeke02,Walker,Kemba,2019,0.617
walkeke02,Walker,Kemba,2015,1.923
walkebi01,Walker,Henry,2015,0.35700000000000004
walljo01,Wall,John,2014,-1.2329999999999999
walljo01,Wall,John,2015,0.20800000000000002
walljo01,Wall,John,2019,-0.9129999999999999
walljo01,Wall,John,2018,1.945
walljo01,Wall,John,2017,0.272
walljo01,Wall,John,2016,0.484
wallage01,Wallace,Gerald,2015,-2.52
wallage01,Wallace,Gerald,2014,-1.045
wallaty01,Wallace,Tyrone,2018,0.019
wallaty01,Wallace,Tyrone,2019,1.652
wanambr01,Wanamaker,Brad,2019,-0.447
wareca01,Ware,Casper,2014,0.47100000000000003
warneja01,Warney,Jameel,2018,-6.747999999999999
warretj01,Warren,T.J.,2016,-0.708
warretj01,Warren,T.J.,2017,-0.121
warretj01,Warren,T.J.,2018,0.065
warretj01,Warren,T.J.,2015,-0.064
warretj01,Warren,T.J.,2019,-2.267
washbju01,Washburn,Julian,2019,2.29
watanyu01,Watanabe,Yuta,2019,-1.6969999999999998
watsoea01,Watson,Earl,2014,-1.4169999999999998
watsocj01,Watson,C.J.,2014,0.598
watsocj01,Watson,C.J.,2015,0.981
watsocj01,Watson,C.J.,2016,-2.398
watsocj01,Watson,C.J.,2017,-1.348
waynsma01,Wayns,Maalik,2014,-3.6010000000000004
weartr01,Wear,Travis,2015,0.042
weartr01,Wear,Travis,2018,3.3360000000000003
wearda01,Wear,David,2015,-5.121
weberbr01,Weber,Briante,2016,-3.947
weberbr01,Weber,Briante,2018,-7.718
weberbr01,Weber,Briante,2017,-5.822
webstma02,Webster,Martell,2015,-2.5980000000000003
webstma02,Webster,Martell,2014,-0.43700000000000006
weemsso01,Weems,Sonny,2016,-3.219
welshth01,Welsh,Thomas,2019,1.13
westda01,West,David,2018,3.3480000000000003
westda01,West,David,2017,3.3339999999999996
westda01,West,David,2014,1.475
westda01,West,David,2015,-0.684
westda01,West,David,2016,0.927
westbru01,Westbrook,Russell,2016,-0.594
westbru01,Westbrook,Russell,2017,-1.8219999999999998
westbru01,Westbrook,Russell,2014,-0.9840000000000001
westbru01,Westbrook,Russell,2015,-1.614
westbru01,Westbrook,Russell,2018,-0.573
westbru01,Westbrook,Russell,2019,-0.8370000000000001
whiteok01,White,Okaro,2018,0.008
whiteok01,White,Okaro,2019,11.944
whiteok01,White,Okaro,2017,-0.159
whitede01,White,Derrick,2019,1.742
whitede01,White,Derrick,2018,6.031000000000001
whitero03,White,Royce,2014,-8.777000000000001
whiteis01,Whitehead,Isaiah,2018,3.7289999999999996
whiteis01,Whitehead,Isaiah,2017,0.64
whiteha01,Whiteside,Hassan,2015,1.395
whiteha01,Whiteside,Hassan,2016,2.316
whiteha01,Whiteside,Hassan,2017,1.344
whiteha01,Whiteside,Hassan,2018,1.22
whiteha01,Whiteside,Hassan,2019,2.886
whittsh01,Whittington,Shayne,2015,-6.275
whittsh01,Whittington,Shayne,2016,-1.755
wiggian01,Wiggins,Andrew,2016,-0.131
wiggian01,Wiggins,Andrew,2017,-1.525
wiggian01,Wiggins,Andrew,2018,-0.305
wiggian01,Wiggins,Andrew,2019,0.14300000000000002
wiggian01,Wiggins,Andrew,2015,-1.093
wileyja01,Wiley,Jacob,2018,7.399
wilkida02,Wilkins,Damien,2018,1.453
willide02,Williams,Derrick,2018,3.0189999999999997
willide02,Williams,Derrick,2017,-0.902
willide02,Williams,Derrick,2014,-1.088
willide02,Williams,Derrick,2016,-0.033
willide02,Williams,Derrick,2015,-1.263
willitr02,Williams,Troy,2017,1.5430000000000001
willitr02,Williams,Troy,2018,0.636
willitr02,Williams,Troy,2019,-2.1430000000000002
williel01,Williams,Elliot,2016,1.579
williel01,Williams,Elliot,2015,-5.824
