player_id,player_lastname,player_firstname
nedovne01,Nedovic,Nemanja
nelsoja01,Nelson,Jameer
netora01,Neto,Raul
niangge01,Niang,Georges
nichoan01,Nicholson,Andrew
noahjo01,Noah,Joakim
noelne01,Noel,Nerlens
noguelu01,Nogueira,Lucas
novakst01,Novak,Steve
nowitdi01,Nowitzki,Dirk
ntilila01,Ntilikina,Frank
nunnaja01,Nunnally,James
nurkiju01,Nurkic,Jusuf
nwabada01,Nwaba,David
obriejj01,O'Brien,J.J.
obryajo01,O'Bryant,Johnny
onealje01,O'Neal,Jermaine
onealro01,O'Neale,Royce
oquinky01,O'Quinn,Kyle
ochefda01,Ochefu,Daniel
odengr01,Oden,Greg
ojelese01,Ojeleye,Semi
okafoem01,Okafor,Emeka
okafoja01,Okafor,Jahlil
okoboel01,Okobo,Elie
okogijo01,Okogie,Josh
oladivi01,Oladipo,Victor
olynyke01,Olynyk,Kelly
onuakar01,Onuaku,Arinze
onuakch01,Onuaku,Chinanu
ortonda01,Orton,Daniel
osmande01,Osman,Cedi
oubreke01,Oubre,Kelly
outlatr01,Outlaw,Travis
pachuza01,Pachulia,Zaza
paigema01,Paige,Marcus
papagge01,Papagiannis,Georgios
papanko01,Papanikolaou,Kostas
pargoja01,Pargo,Jannero
parketo01,Parker,Tony
parkeja01,Parker,Jabari
parsoch01,Parsons,Chandler
pattepa01,Patterson,Patrick
pattela01,Patterson,Lamar
pattoju01,Patton,Justin
paulch01,Paul,Chris
paulbr01,Paul,Brandon
payneca01,Payne,Cameron
paynead01,Payne,Adreian
paytoel01,Payton,Elfrid
paytoga02,Payton,Gary
pekovni01,Pekovic,Nikola
perkike01,Perkins,Kendrick
perralo01,Perrantes,London
peteral01,Peters,Alec
piercpa01,Pierce,Paul
pinsoth01,Pinson,Theo
pittmde01,Pittman,Dexter
pleisti01,Plei,Tibor
plumlmi01,Plumlee,Miles
plumlma01,Plumlee,Mason
plumlma02,Plumlee,Marshall
poeltja01,Poltl,Jakob
pondequ01,Pondexter,Quincy
porteot01,Porter,Otto
portibo01,Portis,Bobby
porzikr01,Porzingis,Kristaps
poweldw01,Powell,Dwight
powelno01,Powell,Norman
poweljo01,Powell,Josh
poythal01,Poythress,Alex
pressph01,Pressey,Phil
priceaj01,Price,A.J.
pricero01,Price,Ronnie
prigipa01,Prigioni,Pablo
princta01,Prince,Tayshaun
pulleja01,Pullen,Jacob
purviro01,Purvis,Rodney
qizh01,Qi,Zhou
quartti01,Quarterman,Tim
rabbiv01,Rabb,Ivan
radulmi01,Raduljica,Miroslav
randlju01,Randle,Julius
randlch01,Randle,Chasson
randoza01,Randolph,Zach
randoan01,Randolph,Anthony
randosh01,Randolph,Shavlik
rathaxa01,Rathan-Mayes,Xavier
redicjj01,Redick,J.J.
reedwi02,Reed,Willie
reedda01,Reed,Davon
reynoca01,Reynolds,Cameron
ricegl02,Rice,Glen
richama01,Richardson,Malachi
richajo01,Richardson,Josh
richaja01,Richardson,Jason
ridnolu01,Ridnour,Luke
riverau01,Rivers,Austin
roberan03,Roberson,Andre
roberbr01,Roberts,Brian
robinmi01,Robinson,Mitchell
robinje01,Robinson,Jerome
robingl02,Robinson,Glenn
robinna01,Robinson,Nate
robinth01,Robinson,Thomas
robindu01,Robinson,Duncan
robinde01,Robinson,Devin
rodrise01,Rodriguez,Sergio
rondora01,Rondo,Rajon
rosede01,Rose,Derrick
rosste01,Ross,Terrence
roziete01,Rozier,Terry
rubiori01,Rubio,Ricky
rudezda01,Rudez,Damjan
rushbr01,Rush,Brandon
russeda01,Russell,D'Angelo
sabondo01,Sabonis,Domantas
sacrero01,Sacre,Robert
salmojo01,Salmons,John
sampsja02,Sampson,JaKarr
sampsbr01,Sampson,Brandon
sandela01,Sanders,Larry
saricda01,Saric,Dario
satorto01,Satoransky,Tomas
schrode01,Schroder,Dennis
